+----------+----------+
| Delay    | Attempts |
+----------+----------+
| 0.221171 |        1 |
| 0.748046 |        1 |
|  46.5743 |        4 |
| 0.194496 |        1 |
|  46.6913 |        4 |
|  46.7845 |        4 |
|  46.4182 |        4 |
| 0.207055 |        1 |
| 0.224385 |        1 |
|  46.4736 |        4 |
|  46.4434 |        4 |
|  46.9687 |        4 |
| 0.240489 |        1 |
|  47.0122 |        4 |
|   45.985 |        4 |
| 0.221274 |        1 |
|  47.0425 |        4 |
| 0.218126 |        1 |
| 0.226532 |        1 |
| 0.216539 |        1 |
|  46.6499 |        4 |
|  46.7954 |        4 |
| 0.193743 |        1 |
| 0.216162 |        1 |
|  46.5646 |        4 |
|  47.0131 |        4 |
| 0.210138 |        1 |
+----------+----------+
